id	multiplicon	genome	list	first	last	order
1	1	genome	Scaffold_5_Vmt	jg8722.t1	jg8725.t1	0
2	1	genome	Scaffold_4	jg19073.t2	jg19076.t1	1
3	2	genome	Scaffold_6	jg15744.t1	jg15749.t1	0
4	2	genome	Scaffold_1	jg3738.t1	jg3743.t1	1
5	3	genome	Scaffold_7	jg419.t1	jg432.t1	0
6	3	genome	Scaffold_3	jg12389.t1	jg12398.t1	1
7	4	genome	Scaffold_3	jg9719.t1	jg9727.t1	0
8	4	genome	Scaffold_2	jg21667.t1	jg21674.t1	1
9	5	genome	Scaffold_6	jg15766.t1	jg15798.t1	0
10	5	genome	Scaffold_1	jg4792.t1	jg4836.t1	1
11	6	genome	Scaffold_5_Vmt	jg8527.t1	jg8574.t1	0
12	6	genome	Scaffold_4	jg18622.t1	jg18674.t1	1
13	7	genome	Scaffold_7	jg719.t1	jg722.t1	0
14	7	genome	Scaffold_6	jg14927.t1	jg14932.t1	1
15	8	genome	Scaffold_7	jg719.t1	jg722.t1	0
16	8	genome	Scaffold_6	jg14927.t1	jg14932.t1	1
17	8	genome	Scaffold_5_Vmt	jg7377.t1	jg7379.t1	2
18	9	genome	Scaffold_7	jg719.t1	jg722.t1	0
19	9	genome	Scaffold_5_Vmt	jg7377.t1	jg7379.t1	1
20	10	genome	Scaffold_6	jg14927.t1	jg14932.t1	0
21	10	genome	Scaffold_5_Vmt	jg7377.t1	jg7379.t1	1
22	11	genome	Scaffold_5_Vmt	jg9607.t1	jg9609.t1	0
23	11	genome	Scaffold_4	jg17619.t1	jg17621.t1	1
24	12	genome	Scaffold_4	jg16734.t1	jg16736.t1	0
25	12	genome	Scaffold_4	jg15998.t1	jg16000.t1	1
26	13	genome	Scaffold_3	jg12007.t1	jg12009.t1	0
27	13	genome	Scaffold_1	jg4293.t1	jg4295.t1	1
28	14	genome	Scaffold_3	jg12007.t1	jg12009.t1	0
29	14	genome	Scaffold_1	jg4293.t1	jg4295.t1	1
30	14	genome	Scaffold_1	jg4905.t1	jg4908.t1	2
31	15	genome	Scaffold_3	jg12007.t1	jg12009.t1	0
32	15	genome	Scaffold_1	jg4293.t1	jg4295.t1	1
33	15	genome	Scaffold_1	jg4905.t1	jg4908.t1	2
34	15	genome	Scaffold_1	jg4938.t1	jg4941.t1	3
35	16	genome	Scaffold_3	jg12007.t1	jg12009.t1	0
36	16	genome	Scaffold_1	jg4293.t1	jg4295.t1	1
37	16	genome	Scaffold_1	jg4905.t1	jg4908.t1	2
38	16	genome	Scaffold_1	jg4938.t1	jg4941.t1	3
39	16	genome	Scaffold_1	jg5445.t1	jg5448.t1	4
40	17	genome	Scaffold_3	jg12007.t1	jg12009.t1	0
41	17	genome	Scaffold_1	jg4293.t1	jg4295.t1	1
42	17	genome	Scaffold_1	jg4905.t1	jg4908.t1	2
43	17	genome	Scaffold_1	jg4938.t1	jg4941.t1	3
44	17	genome	Scaffold_1	jg5445.t1	jg5448.t1	4
45	17	genome	Scaffold_1	jg4763.t1	jg4765.t1	5
46	18	genome	Scaffold_3	jg12007.t1	jg12009.t1	0
47	18	genome	Scaffold_1	jg4905.t1	jg4908.t1	1
48	19	genome	Scaffold_1	jg5558.t1	jg5560.t1	0
49	19	genome	Scaffold_1	jg3142.t1	jg3144.t1	1
50	20	genome	Scaffold_1	jg5445.t1	jg5448.t1	0
51	20	genome	Scaffold_1	jg4763.t1	jg4765.t1	1
52	21	genome	Scaffold_1	jg5212.t1	jg5214.t1	0
53	21	genome	Scaffold_1	jg4938.t1	jg4940.t1	1
54	22	genome	Scaffold_1	jg4905.t1	jg4908.t1	0
55	22	genome	Scaffold_1	jg4293.t1	jg4295.t1	1
56	23	genome	Scaffold_1	jg5881.t1	jg5883.t1	0
57	23	genome	Scaffold_1	jg3098.t1	jg3103.t1	1
58	24	genome	Scaffold_7	jg960.t1	jg963.t1	0
59	24	genome	Scaffold_4	jg18018.t1	jg18021.t1	1
60	25	genome	Scaffold_3	jg12007.t1	jg12009.t1	0
61	25	genome	Scaffold_1	jg4938.t1	jg4941.t1	1
62	26	genome	Scaffold_2	jg23043.t1	jg23046.t1	0
63	26	genome	Scaffold_2	jg22971.t1	jg22973.t1	1
64	27	genome	Scaffold_1	jg5445.t1	jg5448.t1	0
65	27	genome	Scaffold_1	jg4938.t1	jg4941.t1	1
66	28	genome	Scaffold_1	jg4938.t1	jg4941.t1	0
67	28	genome	Scaffold_1	jg4763.t1	jg4765.t1	1
68	29	genome	Scaffold_1	jg4938.t1	jg4941.t1	0
69	29	genome	Scaffold_1	jg4905.t1	jg4908.t1	1
70	30	genome	Scaffold_1	jg4938.t1	jg4941.t1	0
71	30	genome	Scaffold_1	jg4293.t1	jg4295.t1	1
72	31	genome	Scaffold_3	jg9709.t1	jg9712.t1	0
73	31	genome	Scaffold_2	jg22252.t1	jg22254.t1	1
74	32	genome	Scaffold_2	jg22910.t1	jg22919.t1	0
75	32	genome	Scaffold_1	jg5360.t1	jg5363.t1	1
76	33	genome	Scaffold_7	jg1374.t1	jg1378.t1	0
77	33	genome	Scaffold_6	jg14975.t2	jg14980.t1	1
78	34	genome	Scaffold_2	jg20404.t1	jg20410.t1	0
79	34	genome	Scaffold_1	jg4651.t1	jg4655.t1	1
