OGid	Method	OGtype	Species	Sp_geneID	GeneID	GO_status	GeneStart	GeneEnd	Strand	Scaffold	ExonCount	ProtLength	RNAseq_Coverage	RNAseq_status	AnnotStatus_1	AnnotStatus_2	AnnotStatus_3
OG_1	BROC	3.1.1.1.2.1	Dcat	Dcat_jg15257.t1	jg15257	+	164979370	164999259	+	Scaffold_1_Vmt	8	364	107.81341445019861	Good	Annotated	Annotated	Annotated
OG_1	BROC	3.1.1.1.2.1	Dcat	Dcat_jg15267.t1	jg15267	+	165314801	165337280	-	Scaffold_1_Vmt	9	349	132.34205258241025	Good	Annotated	Annotated	Annotated
OG_1	BROC	3.1.1.1.2.1	Dcat	Dcat_jg39460.t1	jg39460	+	542086	559884	-	Scaffold_28	9	365	58.09304416226542	Good	Annotated	Annotated	Annotated
OG_1	BROC	3.1.1.1.2.1	Dtil	Dtil_jg14748.t1	jg14748	+	77737076	77749603	+	Scaffold_6	8	364	513.9934541390596	Good	Annotated	Annotated	Annotated
OG_1	BROC	3.1.1.1.2.1	Dsil	Dsil_jg4155.t1	jg4155	+	63713409	63728951	+	Scaffold_3225_HRSCAF_3759	8	278	185.10519881611117	Good	Annotated	Annotated	Annotated
OG_1	BROC	3.1.1.1.2.1	Dver	Dver_jg4231.t1	jg4231	+	127221	144060	+	ctg421	8	364	108.51737039016568	Good	Annotated	Annotated	Annotated
OG_1	BROC	3.1.1.1.2.1	Dban	Dban_jg11223.t1	jg11223	+	296502	306184	-	ctg814	7	230	107.01745507126627	Good	Annotated	Annotated	Annotated
OG_1	BROC	3.1.1.1.2.1	Dban	Dban_jg188.t1	jg188	+	1247	18431	-	ctg6964	10	325	59.184241154562386	Good	Annotated	Annotated	Annotated
OG_1	BROC	3.1.1.1.2.1	Dgom	Dgom_jg13020.t1	jg13020	+	21787	37019	+	ctg436	8	330	141.2870929621849	Good	Annotated	Annotated	Annotated
OG_2	BROC	1.1.1.1.2.1	Dcat	Dcat_jg25673.t1	jg25673	+	234991433	235043154	+	Scaffold_3	21	564	358.14939773012895	Good	Annotated	Annotated	Annotated
OG_2	BROC	1.1.1.1.2.1	Dtil	Dtil_jg17347.t1	jg17347	+	77841459	77878240	+	Scaffold_4	22	569	492.90701720997254	Good	Annotated	Annotated	Annotated
OG_2	BROC	1.1.1.1.2.1	Dsil	Dsil_jg9834.t1	jg9834	+	92066698	92107895	+	Scaffold_15005_HRSCAF_18897	21	565	213.98856712867442	Good	Annotated	Annotated	Annotated
OG_2	BROC	1.1.1.1.2.1	Dver	Dver_jg4944.t1	jg4944	+	162842	194679	+	ctg575	19	523	181.32000502559916	Good	Annotated	Annotated	Annotated
