  score_SW    perc_divg    perc_del    perc_ins  sequid                         begin     end  orient    name                default_repclass               overlapping      bp_naive    bp_algor
      4749         10.5         2.5         0.4  DsilchrX                           2     719  +         rnd-5_family-1317   __ClassII_DNA_TcMar_nMITE      False                 718         718
     12733          2.4         0.2         0.1  DsilchrX                         725    2246  +         rnd-3_family-239    LINE/RTE-RTE                   False                1522        1522
        31          0           0           0    DsilchrX                        2247    2273  +         (TA)n               Simple_repeat                  False                  27          27
      3806          6           0.6         0.8  DsilchrX                        2276    2771  +         rnd-5_family-43     LINE/RTE-RTE                   False                 496         496
        33          7.6         0           0    DsilchrX                        2772    2813  +         (AT)n               Simple_repeat                  False                  42          42
       295         22.2         9.3         5.4  DsilchrX                        3081    3103  C         ltr-1_family-798    LTR/Pao                        False                  23          23
       300         19.5        10.1         4.1  DsilchrX                        3104    3119  C         rnd-4_family-88     __ClassII_DNA_Mutator_nMITE    False                  16          16
       349         22.1         3.4         5.1  DsilchrX                        3120    3238  C         rnd-5_family-213    __ClassII_MITE                 False                 119         119
       359         20.3         1.2         5    DsilchrX                        3241    3323  C         rnd-6_family-1357   __unknown                      False                  83          83
       348         21.1         7.7         2.1  DsilchrX                        3324    3399  +         rnd-1_family-6      tRNA                           False                  76          76
      1216          7.7         7.2         0    DsilchrX                        3400    3621  C         rnd-5_family-3766   DNA/Sola-2                     False                 222         222
       337         14.1        34.5         2    DsilchrX                        3622    3737  +         ltr-1_family-1252   LTR/Pao                        False                 116         116
       276         11           1.7         5.4  DsilchrX                        3714    3828  C         ltr-1_family-15     __ClassII_nMITE                True                  115           0
       317         13.1         4.6         3.4  DsilchrX                        3729    3902  C         rnd-1_family-41     SINE/tRNA                      True                  174          83
       562          9.4        11.2         2.1  DsilchrX                        3738    3768  +         rnd-4_family-2074   DNA/hAT-Charlie                False                  31          31
       752         12.1         8.1         1.8  DsilchrX                        3852    4011  +         rnd-4_family-2074   DNA/hAT-Charlie                False                 160         160
      2007          1.5         4.6         0.7  DsilchrX                        4012    4269  C         rnd-6_family-2521   DNA/Sola-2                     False                 258         258
      2669          6.8         0.3         3.5  DsilchrX                        4286    4664  C         rnd-6_family-2543   __ClassII_nMITE                False                 379         379
       242         21.5         6.3         0    DsilchrX                        4834    4912  +         rnd-6_family-6081   __ClassII_DNA_hAT_nMITE        True                   79          34
      1236         13.6         4.5         0.4  DsilchrX                        4868    5111  C         rnd-5_family-1013   __unknown                      True                  244         238
      3546         15.3         5.8         4.3  DsilchrX                        5106    5836  +         rnd-5_family-6860   __unknown                      False                 731         731
       530         13.7         0           0    DsilchrX                        5839    5940  C         rnd-1_family-1200   __ClassII_MITE                 False                 102         102
      1079         13.2         0           2.2  DsilchrX                        5963    6148  +         rnd-3_family-923    __ClassII_MITE                 False                 186         186
       895         17.1        14.4         2.6  DsilchrX                        6145    6415  C         rnd-5_family-1536   DNA/Kolobok-Hydra              True                  271         267
       596         22          16           5    DsilchrX                        6155    6460  C         rnd-4_family-129    __ClassI_LTR_Gypsy             True                  306          45
       540         22.3         0.6         4.4  DsilchrX                        6321    6425  C         rnd-1_family-605    __ClassI_LTR                   True                  105           0
       391         16.9         0           0    DsilchrX                        6426    6502  C         rnd-1_family-1940   __ClassII_DNA_Harbinger_MITE   False                  77          42
       847         11.4         3.8         7.1  DsilchrX                        6523    6682  +         rnd-6_family-6090   __ClassI_LTR_Copia             False                 160         160
       505         17.8         0           1.1  DsilchrX                        6680    6770  C         rnd-6_family-3608   __ClassII_nMITE                True                   91          62
       899          9.6         0.7         8.7  DsilchrX                        6745    6893  C         rnd-6_family-2255   __ClassII_DNA_hAT_MITE         False                 149         149
      1474         11.4        11.7         0.7  DsilchrX                        6900    7164  C         rnd-6_family-65     __ClassII_MITE                 False                 265         265
       356         12.3        18.5         0    DsilchrX                        7107    7171  C         rnd-6_family-3075   __unknown                      True                   65           0
       536         15.1         3           6.2  DsilchrX                        7159    7292  C         rnd-5_family-3378   __unknown                      True                  134          12
       574         20           5.8         1.1  DsilchrX                        7177    7348  +         rnd-6_family-828    __ClassI_LTR_Gypsy             True                  172         119
       577         23.2         2.3         6.7  DsilchrX                        7296    7466  C         rnd-1_family-446    __ClassI_LTR_Gypsy             True                  171          46
       595         17.8         1.5         2.3  DsilchrX                        7342    7473  C         rnd-1_family-785    __ClassII_MITE                 False                 132         124
       459         23.9         1.9         1.7  DsilchrX                        7362    7515  +         rnd-4_family-1177   __ClassII_DNA_TcMar_nMITE      True                  154           0
      1378         14.8         6.7         2.6  DsilchrX                        7466    7764  +         rnd-3_family-923    __ClassII_MITE                 False                 299         299
       529         10.9        17.8         0    DsilchrX                        7762    7862  C         rnd-1_family-180    DNA/hAT-hAT5                   True                  101          98
        12         15.2         0          10    DsilchrX                        8356    8399  +         A-rich              Low_complexity                 False                  44          44
      3239          7.2         0.7         0.2  DsilchrX                        8514    8948  C         rnd-6_family-150    DNA/PIF-ISL2EU                 False                 435         435
       721         30.2         2.7         2    DsilchrX                        9209    9502  C         rnd-5_family-857    DNA/Merlin                     False                 294         294
       272         28.6         4.8         4.8  DsilchrX                        9613    9759  C         rnd-5_family-857    DNA/Merlin                     False                 147         147
      1145         17.9        11.6         1.3  DsilchrX                        9778   10123  +         ltr-1_family-701    LTR/Gypsy                      False                 346         346
       632         13.6        11           0    DsilchrX                       10127   10244  +         rnd-5_family-358    __ClassII_DNA_hAT_MITE         False                 118         118
      1617         10.6         7.3         0.6  DsilchrX                       10255   10422  +         rnd-5_family-1929   DNA/hAT-hAT19                  False                 168         168
      1193          8           1.7         0    DsilchrX                       10423   10598  +         rnd-1_family-744    __ClassII_DNA_hAT_MITE         False                 176         176
      2875         10.6         4.6         0.4  DsilchrX                       10620   11073  C         rnd-5_family-2478   DNA/TcMar-Tc2                  False                 454         454
       304         15.6         1          13    DsilchrX                       11471   11573  C         rnd-5_family-857    DNA/Merlin                     False                 103         103
       406         12.9        11.8         0    DsilchrX                       12202   12294  +         rnd-1_family-636    __ClassI_LTR_Gypsy             False                  93          93
       304         15.6         1          13    DsilchrX                       12379   12481  C         rnd-5_family-857    DNA/Merlin                     False                 103         103
      1549         30.3         2.5         3.8  DsilchrX                       12848   13654  C         rnd-5_family-857    DNA/Merlin                     False                 807         807
      1177         25.7         3.2         0.9  DsilchrX                       13714   14055  +         rnd-6_family-2176   DNA                            False                 342         342
       369         12.8         5.6         2.7  DsilchrX                       14465   14485  +         rnd-6_family-2177   DNA/TcMar-Tc1                  False                  21          21
       271         16.4         0           7.3  DsilchrX                       14486   14544  +         rnd-6_family-11074  __ClassI_LTR_Gypsy             False                  59          59
       245         18.2         3.6         0    DsilchrX                       14891   14945  C         rnd-1_family-557    __ClassII_MITE                 True                   55           9
       415         11          12.6         3.3  DsilchrX                       14900   15038  +         rnd-5_family-1929   DNA/hAT-hAT19                  False                 139         139
       269         12.9        33.6         0.5  DsilchrX                       14915   15054  +         rnd-4_family-1184   __ClassII_DNA_hAT_MITE         True                  140          14
      1253          9.4         2.3         0.7  DsilchrX                       15053   15064  +         rnd-1_family-321    __ClassII_MITE                 False                  12          12
       762         18.7         8.9         3    DsilchrX                       15065   15312  +         rnd-6_family-336    __ClassI_LTR_Gypsy             False                 248         248
       739         10.9         2.8         2.4  DsilchrX                       15232   15370  C         rnd-4_family-2209   __ClassII_MITE                 True                  139          58
